구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
KT,1,0.00,1,0,0,0,1.000,27,6,8,0,2,0,5,1,0,0.348
LG,3,4.32,1,0,0,0,1.000,72,16 2/3,18,1,6,1,13,8,8,0.277
NC,2,5.68,0,1,0,0,0.000,56,12 2/3,17,3,5,0,5,8,8,0.333
SSG,3,4.15,2,1,0,0,0.667,78,17 1/3,22,0,5,0,17,8,8,0.306
두산,1,3.38,0,0,0,0,-,27,5 1/3,10,0,1,0,5,4,2,0.400
롯데,1,40.50,0,1,0,0,0.000,16,2,9,1,2,0,1,9,9,0.692
삼성,2,2.70,1,1,0,0,0.500,46,10,9,1,5,0,13,4,3,0.220
키움,3,0.47,0,2,0,0,0.000,76,19,16,0,4,0,18,2,1,0.232
한화,1,3.86,0,0,0,0,-,29,7,7,1,1,0,5,3,3,0.269
고척,2,0.00,0,1,0,0,0.000,48,12,8,0,3,0,15,1,0,0.182
광주,9,3.38,4,3,0,0,0.571,243,56,65,4,14,0,47,23,21,0.293
문학,1,1.80,1,0,0,0,1.000,22,5,5,0,2,0,4,1,1,0.250
사직,1,40.50,0,1,0,0,0.000,16,2,9,1,2,0,1,9,9,0.692
잠실,3,4.11,0,0,0,0,-,71,15 1/3,21,1,5,1,15,9,7,0.328
창원,1,6.35,0,1,0,0,0.000,27,5 2/3,8,1,5,0,0,4,4,0.364
3~4월,4,2.63,1,0,0,0,1.000,100,24,20,1,10,1,26,7,7,0.233
5월,4,2.00,2,1,0,0,0.667,113,27,31,0,5,0,21,8,6,0.295
6월,6,6.75,1,3,0,0,0.250,141,29 1/3,46,4,8,0,25,24,22,0.357
7월,3,4.02,1,2,0,0,0.333,73,15 2/3,19,2,8,0,10,8,7,0.292
화,3,1.35,1,1,0,0,0.500,80,20,18,1,2,0,21,4,3,0.237
수,1,14.54,0,1,0,0,0.000,26,4 1/3,11,0,2,0,3,7,7,0.478
목,3,4.02,1,2,0,0,0.333,73,15 2/3,19,2,8,0,10,8,7,0.292
금,3,10.50,0,1,0,0,0.000,60,12,20,2,6,1,11,14,14,0.385
토,3,2.04,3,0,0,0,1.000,77,17 2/3,18,0,8,0,15,5,4,0.269
일,4,2.39,0,1,0,0,0.000,111,26 1/3,30,2,5,0,22,9,7,0.294
홈,9,3.38,4,3,0,0,0.571,243,56,65,4,14,0,47,23,21,0.293
방문,8,4.73,1,3,0,0,0.250,184,40,51,3,17,1,35,24,21,0.313
주간,4,2.08,1,1,0,0,0.500,110,26,28,0,7,0,20,8,6,0.283
야간,13,4.63,4,5,0,0,0.444,317,70,88,7,24,1,62,39,36,0.308
전반기,16,3.79,5,5,0,0,0.500,400,90 1/3,108,6,26,1,82,43,38,0.298
후반기,1,6.35,0,1,0,0,0.000,27,5 2/3,8,1,5,0,0,4,4,0.364
